2.1104000,41.3841380,METRO (L3) - ZONA UNIVERSITÀRIA-,79,3
2.1429870,41.4249230,"METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-",80,3-5
2.1829500,41.4492640,"METRO (L3,L4,L11) - TRINITAT NOVA (Pedrosa)-",81,3-4-11
2.1661620,41.4117750,METRO (L4) - ALFONS X-,82,4
0.2185660,41.3826740,METRO (L4) - BARCELONETA-,83,4
2.2103170,41.4202910,METRO (L4) - BESÒS-,84,4
2.1921790,41.3952390,METRO (L4) - BOGATELL-,85,4
2.2169690,41.4119630,METRO (L4) - EL MARESME-FÒRUM-,86,4
2.1714060,41.3952600,METRO (L4) - GIRONA-,87,4
2.1745350,41.4159960,METRO (L4) - HOSPITAL DE SANT PAU-GUINARDÓ-,88,4
2.1791250,41.3839840,METRO (L4) - JAUME I-,89,4
2.1633150,41.4065230,METRO (L4) - JOANIC-,90,4
2.2064720,41.4239610,METRO (L4) - LA PAU-,91,4
2.1734840,41.4372150,METRO (L4) - LLUCMAJOR-,92,4
2.1776940,41.4242690,METRO (L4) - MARAGALL-,93,4
2.1676820,41.3896150,METRO (L4) - PASSEIG DE GRÀCIA-,94,4
2.2032120,41.4034400,METRO (L4) - POBLENOU-,95,4
2.2099590,41.4081550,METRO (L4) - SELVA DE MAR-,96,4
2.1731040,41.3884810,METRO (L4) - URQUINAONA-,97,4
2.1685920,41.4001700,METRO (L4) - VERDAGUER-,98,4
2.1789060,41.4439280,METRO (L4) - VIA JÚLIA-,99,4
2.1824750,41.4492850,"METRO (L4,L11) - TRINITAT NOVA-",100,4-11
2.1772200,41.4244890,"METRO (L4,L5) - MARAGALL (Pg. de Maragall)-",101,4-5
2.1273130,41.3756050,METRO (L5) - BADAL-,102,5
2.1809380,41.4149990,METRO (L5) - CAMP DE L'ARPA-,103,5
2.0907820,41.3660550,METRO (L5) - CAN BOIXERES-,104,5
2.0998880,41.3715780,METRO (L5) - CAN VIDALET-,105,5
2.1200490,41.3759980,METRO (L5) - COLLBLANC-,106,5
2.1816090,41.4235280,METRO (L5) - CONGRÉS-,107,5
2.0726720,41.3561070,METRO (L5) - CORNELLÀ CENTRE-,108,5
2.1591600,41.3948870,METRO (L5) - DIAGONAL-,109,5
2.1551260,41.4245970,METRO (L5) - EL CARMEL-,110,5
2.1485210,41.4219740,METRO (L5) - EL COLL / LA TEIXONERA-,111,5
2.1456060,41.3844540,METRO (L5) - ENTENÇA-,112,5
2.0789170,41.3573890,METRO (L5) - GAVARRA-,113,5
2.1611780,41.4297620,METRO (L5) - HORTA-,114,5
